no,result,scramble,time,algs,edges,corners,flips,twists,solved_edges,solved_corners,edge_breaks,corner_breaks
28744,21.19,D2 U L' B2 D2 B2 R B2 L' R U' F R B' R2 U B D2 R' Rw2 Uw',2021-01-05 16:45:02,11,11,7,1,0,0,0,1,0
28746,17.62,R D' F2 D2 R2 L B' U L' U2 R2 L2 U' R2 U' F2 D' B2 Fw' Uw2,2021-01-05 16:47:23,8,10,6,0,0,1,1,0,0
28747,19.35,F' L' B2 D2 L F2 U2 R2 D2 F2 R' F2 R' F' D' F2 L' R' U' B2 Rw' Uw,2021-01-05 16:47:51,10,12,8,0,0,0,0,1,1
28749,23.87,B2 U2 B' D2 L2 D2 B L2 F2 U2 F' U' L' B' U2 L' B R F Fw' Uw2,2021-01-05 16:50:35,11,11,5,0,2,0,0,0,0
28750,23.98,U' B2 R2 U2 L2 F2 D2 R2 F2 U2 L' D R' F2 L' B' U' F' R' B U Fw' Uw',2021-01-05 16:51:13,11,13,7,0,0,0,0,2,0
28751,18.68,B2 U' R U' L B L F R2 U2 F2 R2 B' R2 B' U2 D2 F L2 D F' Fw Uw,2021-01-05 16:51:49,9,10,6,0,1,3,0,2,0
28752,23.42,L2 U2 R F2 U' F2 U2 L2 F2 D' L2 U L2 R2 B' L D B2 R' D U Fw' Uw2,2021-01-05 16:54:01,11,11,7,0,1,1,0,1,1
28755,22.07,B' U2 L2 F L2 B' D2 U2 B' R2 F2 D' L' U B R2 B' F U F2 Uw',2021-01-05 16:56:06,10,12,6,0,1,1,0,2,0
28761,20.78,L U' R2 B2 F D2 F' L2 B2 F' U2 D L2 R2 U B2 L B Rw' Uw2,2021-01-05 17:00:41,9,10,6,0,1,1,0,0,0
28765,24.48,F2 R2 F2 R' U R2 U2 R2 F' R B2 L F2 D2 L' D2 R' F2 B2 R2 Fw Uw2,2021-01-05 17:03:24,10,12,8,0,0,0,0,1,1
28769,24.96,B D' L2 D2 L' B2 F2 D2 R' U2 F2 L B2 R2 U' B' D L D' R U Rw2 Uw,2021-01-05 17:06:36,11,9,9,1,0,1,0,0,2
28771,26.94,B2 F2 U F2 D2 U B2 U L2 U' F D2 R D2 R2 F2 U F U Fw',2021-01-05 17:08:45,12,10,6,3,1,0,0,2,0
28773,21.5,B' D2 R2 U' B2 F2 U' L2 U L2 D2 F' L2 R B F2 D R2 U2 Uw,2021-01-05 17:10:10,11,11,9,0,0,2,0,2,2
